demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight,tipoies,region,nombreies,nombrecarrera
13023,622.2,I87S1C580J1V1,15,25,10,20,30,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ADMINISTRACION PUBLICA Y CIENCIA POLITICA
13024,665.9,I87S1C11J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,DERECHO
13025,555.85,I87S1C16J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,TRABAJO SOCIAL
13026,540.8,I87S1C240J1V1,15,25,25,20,15,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ANTROPOLOGIA
13027,500.4,I87S1C37J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,EDUCACION PARVULARIA
13028,537.15,I87S1C35J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,EDUCACION DIFERENCIAL
13029,629.95,I87S2C11J1V1,15,25,25,25,10,0,0,Universidades,REGION DE ÑUBLE,UNIVERSIDAD DE CONCEPCION,DERECHO
13030,555.35,I87S2C54J1V1,15,25,35,15,10,10,0,Universidades,REGION DE ÑUBLE,UNIVERSIDAD DE CONCEPCION,INGENIERIA COMERCIAL
13031,589.8,I87S1C121J1V1,15,25,15,30,15,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PERIODISMO
13032,502.95,I87S1C110J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,EDUCACION GENERAL BASICA
13035,503.05,I87S1C109J1V1,15,25,25,20,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN CIENCIAS NATURALES Y BIOLOGIA
13036,534.8,I87S1C244J1V1,15,25,25,20,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN CIENCIAS NATURALES Y FISICA
13037,558.5,I87S1C245J1V1,15,25,25,20,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN CIENCIAS NATURALES Y QUIMICA
13039,569.0,I87S1C112J1V1,15,25,20,20,20,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN EDUCACION MUSICAL
13040,594.3,I87S1C116J1V1,15,25,10,20,30,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN HISTORIA Y GEOGRAFIA
13041,540.2,I87S1C113J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN ESPAÑOL
13042,503.05,I87S1C114J1V1,15,25,10,25,25,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN FILOSOFIA
13043,502.5,I87S1C414J1V1,15,25,30,20,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA EN CONSERVACION DE RECURSOS NATURALES
13044,507.0,I87S2C241J1V1,15,25,35,15,0,10,0,Universidades,REGION DE ÑUBLE,UNIVERSIDAD DE CONCEPCION,INGENIERIA AMBIENTAL
